wcs_click_date_sk,wcs_click_time_sk,wcs_sales_sk,wcs_item_sk,wcs_web_page_sk,wcs_user_sk
38580,13478,,6871,18,
38580,43365,,9443,18,
38580,15024,,7148,18,
38580,38683,,2392,18,
38580,30697,,15049,18,
38580,23663,,12545,18,
38580,72976,,4081,18,
38580,40762,,5195,18,
38580,63839,,15102,18,
38580,75628,,16879,18,
38580,4654,,1815,18,
38580,39722,,9890,18,
38580,84128,,11633,18,
38581,28758,,16759,18,
38581,66245,,4823,18,
38581,65973,,5118,18,
38581,58227,,7793,18,
38581,37179,,9453,18,
38581,76530,,12540,18,
38581,8758,,3014,18,
38581,81302,,5301,18,
38581,45791,,3793,18,
38581,11103,,2754,18,
38581,32590,,8103,18,
38581,48095,,8038,18,
38581,67015,,2236,18,
38581,42,,4702,18,
38581,65905,,7444,18,
38581,30525,,9507,18,
38581,23020,,14100,18,
38581,77402,,6036,18,
38581,19419,,5893,18,
38581,62362,,5270,18,
38581,27868,,16665,18,
38581,37728,,5124,18,
38581,61040,,4922,18,
38581,67241,,15188,18,
38581,60301,,17023,18,
38581,9158,,4794,18,
38581,76503,,16760,18,
38582,52715,,9354,18,
38582,14731,,9601,18,
38582,2332,,12152,18,
38582,55326,,2825,18,
38582,1325,,13434,18,
38582,41117,,7275,18,
38582,9850,,3672,18,
38582,45971,,11003,18,
38582,72289,,3929,18,
38582,65896,,2733,18,
38582,79243,,3486,18,
38582,51879,,6453,18,
38582,73191,,4978,18,
38582,62984,,17802,18,
38582,43224,,12694,18,
38582,54211,,13225,18,
38582,29359,,4781,18,
38582,77082,,11189,18,
38582,61889,,15666,18,
38582,52178,,14918,18,
38582,80180,,5008,18,
38582,44126,,389,18,
38582,20830,,14899,18,
38582,50118,,4055,18,
38582,18602,,2123,18,
38582,52415,,11273,18,
38582,7587,,16400,18,
38583,48537,,7426,18,
38583,49777,,16561,18,
38583,52225,,15935,18,
38583,23701,,3563,18,
38583,8684,,1473,18,
38583,55734,,8901,18,
38583,22178,,13311,18,
38583,6737,,14466,18,
38583,71815,,15922,18,
38583,40947,,11874,18,
38583,14834,,15599,18,
38583,57195,,6408,18,
38583,39302,,11310,18,
38583,343,,15011,18,
38583,66539,,5457,18,
38583,16825,,12586,18,
38583,55627,,6309,18,
38583,4193,,7928,18,
38583,57864,,5717,18,
38583,70185,,4265,18,
38583,3826,,6928,18,
38584,34176,,7493,18,
38584,42370,,1042,18,
38584,40641,,7951,18,
38584,55356,,6499,18,
38584,53740,,17798,18,
38584,42373,,11965,18,
38584,60657,,10185,18,
38584,13440,,15478,18,
38584,78804,,10026,18,
38584,86159,,245,18,
38584,79364,,5722,18,
38584,86173,,4495,18,
38584,82380,,17036,18,
38584,37842,,10401,18,
38584,12063,,5248,18,
38584,68179,,6310,18,
38584,76441,,2755,18,
38584,8460,,605,18,
38584,51736,,10991,18,
38584,54535,,14499,18,
38584,55646,,16968,18,
38584,76280,,1982,18,
38584,85237,,5316,18,
38584,34979,,12207,18,
38584,36367,,8592,18,
38584,3823,,8634,18,
38585,54051,,9176,18,
38585,46219,,16813,18,
38585,5783,,2678,18,
38585,26574,,1387,18,
38585,73914,,3747,18,
38585,4921,,7197,18,
38585,54784,,7686,18,
38585,7886,,13511,18,
38585,9839,,5627,18,
38585,11799,,15230,18,
38585,37200,,12640,18,
38585,22169,,15175,18,
38585,59324,,15794,18,
38585,871,,9616,18,
38585,37607,,5294,18,
38585,11608,,14964,18,
38585,29286,,13835,18,
38585,70164,,5415,18,
38585,26267,,11922,18,
38585,57805,,3493,18,
38585,77195,,3525,18,
38585,73900,,2846,18,
38586,54143,,3919,18,
38586,6242,,11626,18,
38586,79590,,6815,18,
38586,38027,,851,18,
38586,34195,,16634,18,
38586,4594,,5348,18,
38586,49367,,12363,18,
38586,41749,,6917,18,
38586,57532,,3567,18,
38586,75450,,13961,18,
38586,42154,,7813,18,
38586,51173,,16047,18,
38586,22777,,97,18,
38586,13084,,16406,18,
38586,67291,,5314,18,
38586,59902,,15106,18,
38586,46891,,5702,18,
38586,10298,,9110,18,
38586,45112,,14406,18,
38586,70284,,4399,18,
38586,41884,,16347,18,
38586,55550,,10840,18,
38586,62564,,14074,18,
38586,38709,,9710,18,
38586,20345,,7332,18,
38586,22951,,2394,18,
38586,80448,,7315,18,
38587,52235,,13939,18,
38587,40439,,3723,18,
38587,35425,,9949,18,
38587,34854,,13147,18,
38587,28919,,15240,18,
38587,14794,,8954,18,
38587,77222,,6852,18,
38587,45315,,10160,18,
38587,32071,,1459,18,
38587,30806,,179,18,
38587,58135,,12252,18,
38587,21044,,12031,18,
38587,67725,,11699,18,
38587,79535,,7694,18,
38587,27160,,2041,18,
38587,19548,,5786,18,
38587,46321,,3630,18,
38587,80145,,2669,18,
38587,42847,,2806,18,
38587,55245,,4513,18,
38587,10012,,14647,18,
38587,25823,,7672,18,
38587,71733,,13606,18,
38587,82147,,13991,18,
38587,83267,,7865,18,
38587,12199,,2101,18,
38587,40681,,401,18,
38587,32602,,11383,18,
38587,71148,,5836,18,
38587,68762,,17181,18,
38587,32583,,8568,18,
38588,9024,,3521,18,
38588,11661,,9807,18,
38588,33800,,11531,18,
38588,61052,,10310,18,
38588,22395,,1889,18,
38588,37038,,17465,18,
38588,82734,,12463,18,
38588,31600,,14463,18,
38588,7456,,3812,18,
38588,44626,,15989,18,
38588,62143,,5784,18,
38588,54037,,9806,18,
38588,51024,,5896,18,
38588,31683,,10019,18,
38588,20780,,473,18,
38588,25395,,616,18,
38588,50964,,4002,18,
38588,12523,,4489,18,
38588,76817,,3984,18,
38588,5486,,16266,18,
38588,17248,,10970,18,
38589,34796,,3642,18,
38589,84285,,11908,18,
38589,6311,,9602,18,
38589,14712,,16768,18,
38589,75596,,17637,18,
38589,85189,,1012,18,
38589,12086,,261,18,
38589,5499,,7172,18,
38589,74565,,2688,18,
38589,63568,,5492,18,
38589,63758,,17407,18,
38589,79838,,7783,18,
38589,8382,,15048,18,
38589,15301,,2833,18,
38589,28304,,12548,18,
38589,71491,,14753,18,
38589,46238,,4430,18,
38589,84169,,17477,18,
38589,53804,,12782,18,
38589,9861,,7367,18,
38589,81433,,2806,18,
38589,63032,,9512,18,
38589,20368,,13352,18,
38589,40592,,16200,18,
38590,21306,,2378,18,
38590,22304,,12596,18,
38590,42299,,15225,18,
38590,33704,,2419,18,
38590,25550,,7913,18,
38590,24897,,12874,18,
38590,33862,,4442,18,
38590,30913,,17443,18,
38590,65221,,15879,18,
38590,58025,,8725,18,
38590,29051,,9868,18,
